customer_id,first_name,last_name,email,phone,country,state_province,city,postal_code,signup_date
1,Christy,Garcia,cunninghamstephanie@example.org,+1-984-870-7420,Germany,Virginia,Greenburgh,63767,2023-12-06
2,Angela,Kelley,ohawkins@example.com,(383)999-2475x2,United Kingdom,Arizona,Blevinsport,20940,2022-09-01
3,Jenna,Miller,michaeltanner@example.org,(212)361-6803,France,,Ryanhaven,75114,2023-04-09
4,Jonathan,Hale,dbird@example.net,+1-543-381-4243,United Kingdom,,New Stephen,73132,2024-12-25
5,Steven,Alexander,ecook@example.org,799.665.3115,United Kingdom,New Jersey,Lake Carl,36308,2024-02-01
6,Christina,Franklin,chadcollins@example.org,001-383-614-456,Germany,,East Kathleen,50960,2023-12-01
7,Scott,Powell,madisontaylor@example.org,560-315-2871x40,United Kingdom,,Johnsonport,79098,2024-10-12
8,Jennifer,Collins,courtney14@example.org,634.331.7496x96,Canada,Arkansas,Lake Lisaborough,93338,2025-09-13
9,Tara,Patterson,wzimmerman@example.net,(880)714-0263,Canada,,Mcleanhaven,36836,2024-03-28
10,Victoria,James,thomas64@example.org,269.711.0482x53,France,Texas,Rodriguezshire,31909,2023-06-16
11,Alexander,Davenport,alexander89@example.net,+1-910-498-2699,Canada,Oklahoma,Andradeville,54776,2022-12-30
12,Jeffrey,Thompson,jennifer78@example.com,482.960.6298,Germany,,Maryport,56307,2024-09-09
13,Donald,Bradford,glopez@example.org,579-272-3151x55,United Kingdom,Nebraska,Allisonmouth,56313,2025-12-04
14,Curtis,Farmer,laurenwalker@example.org,(245)461-3426,Canada,,Stephentown,51128,2023-08-13
15,Daniel,Mccarthy,deleoneddie@example.net,001-551-742-818,Germany,Tennessee,Nguyenhaven,12054,2022-09-16
16,Amanda,Patterson,anitagriffin@example.com,+1-610-735-9484,United Kingdom,Michigan,North Christopher,13868,2024-03-05
17,Erin,Lopez,amy40@example.org,200-204-2055,Germany,Tennessee,Amandaburgh,40700,2025-11-19
18,James,Kelly,davidwebster@example.net,256.241.1332,United Kingdom,Michigan,Katiefurt,31346,2023-05-03
19,Charlotte,Watson,hsmith@example.org,423.666.2778,France,Iowa,Port Whitneybury,91308,2025-12-08
20,George,Gonzales,hermanjohn@example.com,+1-442-746-4377,Canada,Arizona,South Thomas,25535,2025-06-10
21,Sarah,Mejia,graymichael@example.com,(771)628-5562x0,Germany,Maryland,North Cynthia,69644,2024-10-16
22,Brandon,Bailey,james73@example.org,6376869957,Canada,Mississippi,Millermouth,86430,2023-03-12
23,Juan,Lee,alisonmoore@example.org,875.601.3571x94,France,,Whitemouth,07894,2023-07-05
24,Patricia,White,daniel13@example.net,6248304547,Germany,Indiana,Benderside,47598,2024-11-01
25,Ian,Reyes,jacob51@example.com,485.842.0462x46,Germany,Alaska,Smithborough,67014,2024-09-29
26,Larry,Rose,tylerjohnson@example.com,823.519.5528x64,United Kingdom,Nebraska,New Vanessa,56856,2024-05-24
27,Sarah,Torres,erika04@example.org,001-656-295-938,Germany,,Cristinaside,51131,2023-05-25
28,Timothy,Williams,sgriffin@example.com,001-744-344-675,Germany,Iowa,West Paul,08638,2022-12-09
29,Colin,Love,richard80@example.com,001-423-778-568,Canada,Arkansas,South Wendymouth,91260,2025-06-23
30,Joseph,Reyes,ibenjamin@example.net,893-626-5209,France,Indiana,Amyville,49327,2024-05-12
31,Marissa,Kane,evansroger@example.org,(700)467-0651x0,Canada,Kentucky,New Joshua,68340,2022-09-15
32,Clifford,Lewis,mdiaz@example.org,6235448094,Canada,Arkansas,Leslieberg,60036,2023-10-13
33,Kelly,Jacobs,anthonyfischer@example.net,+1-202-535-7901,Germany,,Marshallfort,19953,2024-05-23
34,Rebekah,Brewer,mary20@example.net,(803)253-3213x4,France,Kentucky,East Karenstad,41945,2024-01-26
35,Jocelyn,Taylor,lpearson@example.com,387.979.4282,Canada,Nevada,East Melissaland,58298,2024-02-11
36,Judith,Gamble,hillariana@example.net,974-684-0780,Canada,Louisiana,Andrewsberg,77639,2022-05-21
37,Kimberly,Joseph,richardadrian@example.org,600-367-4266x20,Germany,Nebraska,Cooperborough,36336,2024-05-24
38,Philip,Ingram,jacob63@example.com,001-412-612-851,United States,,Levyville,30821,2023-04-18
39,Lindsay,Myers,mmarshall@example.org,732-461-0117x40,France,,East Michelleburgh,29499,2022-03-31
40,Kathryn,Kim,haydenwillis@example.com,001-511-886-864,United States,New York,Bushstad,76193,2024-10-17
41,Matthew,Chambers,darryl89@example.com,2015756619,Germany,,Johnchester,49896,2025-08-26
42,Jerry,Sharp,batesmelinda@example.net,768-608-9225,United Kingdom,,Vasquezhaven,94081,2022-11-23
43,David,Peterson,richardcook@example.com,303-972-2164x07,United Kingdom,Connecticut,Port Jennifer,61729,2022-06-21
44,Wendy,Simmons,tabitha06@example.net,603.264.5858,United Kingdom,,Lake Carly,94068,2023-09-23
45,Matthew,Dunn,mandrade@example.com,(855)253-2901,Canada,,North Tommy,46733,2023-05-08
46,Katherine,Young,hernandezrebecca@example.net,+1-269-483-8389,United States,Mississippi,Port Rickyview,70541,2022-02-19
47,Cheryl,Foster,wilsonmary@example.org,601.458.1652,Canada,,South Ashley,36270,2025-06-22
48,Tina,Campbell,simmonstimothy@example.org,+1-258-440-9782,France,Indiana,Lake Arielport,10355,2022-12-26
49,Mary,Webster,melissahale@example.net,3958841052,United Kingdom,Arizona,North Davidbury,80776,2024-02-19
50,Kayla,Ramos,victor05@example.net,+1-703-346-1120,United Kingdom,,New David,16348,2022-07-10
51,Harry,Jefferson,grace23@example.com,831-934-6715x72,United Kingdom,Missouri,Tracyhaven,42622,2025-04-25
52,Daniel,Torres,sstephenson@example.com,204.832.8799,Canada,,Lake Danielview,38777,2024-11-13
53,Anthony,Murphy,mcintyrechristopher@example.net,001-379-359-182,United Kingdom,Iowa,North Robert,04753,2022-05-03
54,Tracy,Smith,scott29@example.com,(955)371-4744x7,Canada,,South Jasonshire,62979,2025-01-23
55,Nicholas,Patton,greenrobert@example.com,462.729.3838,France,,Woodville,34691,2025-05-18
56,Joseph,Gomez,sandovaldavid@example.com,(987)834-5920x3,United States,Rhode Island,Port Brendaside,29331,2023-11-12
57,James,Hobbs,paul35@example.com,401.591.5504x13,Germany,Arkansas,Jenniferville,43098,2024-03-27
58,Megan,Doyle,steven01@example.org,+1-443-255-3953,France,Louisiana,Smithborough,58732,2023-03-11
